nu,B
1.5559760773e+21,2.9170697393e-08
1.5596030611e+21,2.8632299812e-08
1.5632300450e+21,2.8103383646e-08
1.5668570289e+21,2.7583792809e-08
1.5704840127e+21,2.7073373519e-08
1.5741109966e+21,2.6571974276e-08
1.5777379805e+21,2.6079445828e-08
1.5813649643e+21,2.5595641151e-08
1.5849919482e+21,2.5120415415e-08
1.5886189320e+21,2.4653625964e-08
1.5922459159e+21,2.4195132281e-08
1.5958728998e+21,2.3744795971e-08
1.5994998836e+21,2.3302480727e-08
1.6031268675e+21,2.2868052307e-08
1.6067538514e+21,2.2441378506e-08
1.6103808352e+21,2.2022329136e-08
1.6140078191e+21,2.1610775991e-08
1.6176348030e+21,2.1206592830e-08
1.6212617868e+21,2.0809655347e-08
1.6248887707e+21,2.0419841149e-08
1.6285157545e+21,2.0037029727e-08
1.6321427384e+21,1.9661102437e-08
1.6357697223e+21,1.9291942470e-08
1.6393967061e+21,1.8929434832e-08
1.6430236900e+21,1.8573466317e-08
1.6466506739e+21,1.8223925487e-08
1.6502776577e+21,1.7880702642e-08
1.6539046416e+21,1.7543689805e-08
1.6575316254e+21,1.7212780691e-08
1.6611586093e+21,1.6887870690e-08
1.6647855932e+21,1.6568856840e-08
1.6684125770e+21,1.6255637808e-08
1.6720395609e+21,1.5948113865e-08
1.6756665448e+21,1.5646186864e-08
1.6792935286e+21,1.5349760221e-08
1.6829205125e+21,1.5058738891e-08
1.6865474964e+21,1.4773029346e-08
1.6901744802e+21,1.4492539557e-08
1.6938014641e+21,1.4217178968e-08
1.6974284479e+21,1.3946858481e-08
1.7010554318e+21,1.3681490430e-08
1.7046824157e+21,1.3420988565e-08
1.7083093995e+21,1.3165268030e-08
1.7119363834e+21,1.2914245343e-08
1.7155633673e+21,1.2667838376e-08
1.7191903511e+21,1.2425966336e-08
1.7228173350e+21,1.2188549748e-08
1.7264443188e+21,1.1955510431e-08
1.7300713027e+21,1.1726771484e-08
1.7336982866e+21,1.1502257265e-08
1.7373252704e+21,1.1281893373e-08
1.7409522543e+21,1.1065606629e-08
1.7445792382e+21,1.0853325061e-08
1.7482062220e+21,1.0644977881e-08
1.7518332059e+21,1.0440495475e-08
1.7554601898e+21,1.0239809376e-08
1.7590871736e+21,1.0042852257e-08
1.7627141575e+21,9.8495579057e-09
1.7663411413e+21,9.6598612139e-09
1.7699681252e+21,9.4736981567e-09
1.7735951091e+21,9.2910057786e-09
1.7772220929e+21,9.1117221763e-09
1.7808490768e+21,8.9357864835e-09
1.7844760607e+21,8.7631388547e-09
1.7881030445e+21,8.5937204496e-09
1.7917300284e+21,8.4274734184e-09
1.7953570122e+21,8.2643408859e-09
1.7989839961e+21,8.1042669372e-09
1.8026109800e+21,7.9471966025e-09
1.8062379638e+21,7.7930758428e-09
1.8098649477e+21,7.6418515355e-09
1.8134919316e+21,7.4934714602e-09
1.8171189154e+21,7.3478842846e-09
1.8207458993e+21,7.2050395509e-09
1.8243728831e+21,7.0648876620e-09
1.8279998670e+21,6.9273798680e-09
1.8316268509e+21,6.7924682534e-09
1.8352538347e+21,6.6601057232e-09
1.8388808186e+21,6.5302459908e-09
1.8425078025e+21,6.4028435647e-09
1.8461347863e+21,6.2778537362e-09
1.8497617702e+21,6.1552325669e-09
1.8533887541e+21,6.0349368768e-09
1.8570157379e+21,5.9169242314e-09
1.8606427218e+21,5.8011529310e-09
1.8642697056e+21,5.6875819978e-09
1.8678966895e+21,5.5761711652e-09
1.8715236734e+21,5.4668808661e-09
1.8751506572e+21,5.3596722214e-09
1.8787776411e+21,5.2545070294e-09
1.8824046250e+21,5.1513477543e-09
1.8860316088e+21,5.0501575162e-09
1.8896585927e+21,4.9509000797e-09
1.8932855765e+21,4.8535398439e-09
1.8969125604e+21,4.7580418319e-09
1.9005395443e+21,4.6643716807e-09
1.9041665281e+21,4.5724956310e-09
1.9077935120e+21,4.4823805179e-09
1.9114204959e+21,4.3939937603e-09
1.9150474797e+21,4.3073033519e-09
1.9186744636e+21,4.2222778518e-09
1.9223014475e+21,4.1388863746e-09
1.9259284313e+21,4.0570985820e-09
1.9295554152e+21,3.9768846731e-09
1.9331823990e+21,3.8982153759e-09
1.9368093829e+21,3.8210619383e-09
1.9404363668e+21,3.7453961196e-09
1.9440633506e+21,3.6711901819e-09
1.9476903345e+21,3.5984168819e-09
1.9513173184e+21,3.5270494621e-09
1.9549443022e+21,3.4570616434e-09
1.9585712861e+21,3.3884276167e-09
1.9621982699e+21,3.3211220347e-09
1.9658252538e+21,3.2551200048e-09
1.9694522377e+21,3.1903970811e-09
1.9730792215e+21,3.1269292566e-09
1.9767062054e+21,3.0646929563e-09
1.9803331893e+21,3.0036650296e-09
1.9839601731e+21,2.9438227429e-09
1.9875871570e+21,2.8851437732e-09
1.9912141409e+21,2.8276062002e-09
1.9948411247e+21,2.7711885003e-09
1.9984681086e+21,2.7158695393e-09
2.0020950924e+21,2.6616285657e-09
2.0057220763e+21,2.6084452048e-09
2.0093490602e+21,2.5562994514e-09
2.0129760440e+21,2.5051716640e-09
2.0166030279e+21,2.4550425585e-09
2.0202300118e+21,2.4058932017e-09
2.0238569956e+21,2.3577050058e-09
2.0274839795e+21,2.3104597219e-09
2.0311109633e+21,2.2641394347e-09
2.0347379472e+21,2.2187265560e-09
2.0383649311e+21,2.1742038198e-09
2.0419919149e+21,2.1305542763e-09
2.0456188988e+21,2.0877612862e-09
2.0492458827e+21,2.0458085159e-09
2.0528728665e+21,2.0046799316e-09
2.0564998504e+21,1.9643597945e-09
2.0601268343e+21,1.9248326553e-09
2.0637538181e+21,1.8860833493e-09
2.0673808020e+21,1.8480969915e-09
2.0710077858e+21,1.8108589715e-09
2.0746347697e+21,1.7743549488e-09
2.0782617536e+21,1.7385708480e-09
2.0818887374e+21,1.7034928542e-09
2.0855157213e+21,1.6691074084e-09
2.0891427052e+21,1.6354012029e-09
2.0927696890e+21,1.6023611770e-09
2.0963966729e+21,1.5699745125e-09
2.1000236567e+21,1.5382286293e-09
2.1036506406e+21,1.5071111815e-09
2.1072776245e+21,1.4766100530e-09
2.1109046083e+21,1.4467133536e-09
2.1145315922e+21,1.4174094146e-09
2.1181585761e+21,1.3886867855e-09
2.1217855599e+21,1.3605342293e-09
2.1254125438e+21,1.3329407195e-09
2.1290395277e+21,1.3058954356e-09
2.1326665115e+21,1.2793877599e-09
2.1362934954e+21,1.2534072739e-09
2.1399204792e+21,1.2279437543e-09
2.1435474631e+21,1.2029871699e-09
2.1471744470e+21,1.1785276778e-09
2.1508014308e+21,1.1545556204e-09
2.1544284147e+21,1.1310615219e-09
2.1580553986e+21,1.1080360847e-09
2.1616823824e+21,1.0854701866e-09
2.1653093663e+21,1.0633548778e-09
2.1689363501e+21,1.0416813769e-09
2.1725633340e+21,1.0204410689e-09
2.1761903179e+21,9.9962550149e-10
2.1798173017e+21,9.7922638235e-10
2.1834442856e+21,9.5923557620e-10
2.1870712695e+21,9.3964510195e-10
2.1906982533e+21,9.2044712991e-10
2.1943252372e+21,9.0163397896e-10
2.1979522211e+21,8.8319811395e-10
2.2015792049e+21,8.6513214291e-10
2.2052061888e+21,8.4742881456e-10
2.2088331726e+21,8.3008101561e-10
2.2124601565e+21,8.1308176832e-10
2.2160871404e+21,7.9642422799e-10
2.2197141242e+21,7.8010168051e-10
2.2233411081e+21,7.6410753996e-10
2.2269680920e+21,7.4843534626e-10
2.2305950758e+21,7.3307876285e-10
2.2342220597e+21,7.1803157442e-10
2.2378490435e+21,7.0328768466e-10
2.2414760274e+21,6.8884111409e-10
2.2451030113e+21,6.7468599788e-10
2.2487299951e+21,6.6081658370e-10
2.2523569790e+21,6.4722722973e-10
2.2559839629e+21,6.3391240251e-10
2.2596109467e+21,6.2086667498e-10
2.2632379306e+21,6.0808472453e-10
2.2668649145e+21,5.9556133099e-10
2.2704918983e+21,5.8329137478e-10
2.2741188822e+21,5.7126983505e-10
2.2777458660e+21,5.5949178776e-10
2.2813728499e+21,5.4795240398e-10
2.2849998338e+21,5.3664694804e-10
2.2886268176e+21,5.2557077582e-10
2.2922538015e+21,5.1471933302e-10
2.2958807854e+21,5.0408815350e-10
2.2995077692e+21,4.9367285764e-10
2.3031347531e+21,4.8346915067e-10
2.3067617369e+21,4.7347282113e-10
2.3103887208e+21,4.6367973927e-10
2.3140157047e+21,4.5408585554e-10
2.3176426885e+21,4.4468719908e-10
2.3212696724e+21,4.3547987621e-10
2.3248966563e+21,4.2646006902e-10
2.3285236401e+21,4.1762403392e-10
2.3321506240e+21,4.0896810022e-10
2.3357776078e+21,4.0048866880e-10
2.3394045917e+21,3.9218221071e-10
2.3430315756e+21,3.8404526587e-10
2.3466585594e+21,3.7607444178e-10
2.3502855433e+21,3.6826641219e-10
2.3539125272e+21,3.6061791590e-10
2.3575395110e+21,3.5312575550e-10
2.3611664949e+21,3.4578679616e-10
2.3647934788e+21,3.3859796444e-10
2.3684204626e+21,3.3155624713e-10
2.3720474465e+21,3.2465869011e-10
2.3756744303e+21,3.1790239720e-10
2.3793014142e+21,3.1128452909e-10
2.3829283981e+21,3.0480230223e-10
2.3865553819e+21,2.9845298777e-10
2.3901823658e+21,2.9223391053e-10
2.3938093497e+21,2.8614244797e-10
2.3974363335e+21,2.8017602916e-10
2.4010633174e+21,2.7433213383e-10
2.4046903012e+21,2.6860829136e-10
2.4083172851e+21,2.6300207988e-10
2.4119442690e+21,2.5751112529e-10
2.4155712528e+21,2.5213310034e-10
2.4191982367e+21,2.4686572378e-10
2.4228252206e+21,2.4170675943e-10
2.4264522044e+21,2.3665401532e-10
2.4300791883e+21,2.3170534288e-10
2.4337061722e+21,2.2685863603e-10
2.4373331560e+21,2.2211183043e-10
2.4409601399e+21,2.1746290265e-10
2.4445871237e+21,2.1290986937e-10
2.4482141076e+21,2.0845078661e-10
2.4518410915e+21,2.0408374899e-10
2.4554680753e+21,1.9980688897e-10
2.4590950592e+21,1.9561837610e-10
2.4627220431e+21,1.9151641632e-10
2.4663490269e+21,1.8749925127e-10
2.4699760108e+21,1.8356515758e-10
2.4736029946e+21,1.7971244618e-10
2.4772299785e+21,1.7593946166e-10
2.4808569624e+21,1.7224458160e-10
2.4844839462e+21,1.6862621592e-10
2.4881109301e+21,1.6508280628e-10
2.4917379140e+21,1.6161282546e-10
2.4953648978e+21,1.5821477670e-10
2.4989918817e+21,1.5488719319e-10
2.5026188656e+21,1.5162863741e-10
2.5062458494e+21,1.4843770061e-10
2.5098728333e+21,1.4531300222e-10
2.5134998171e+21,1.4225318933e-10
2.5171268010e+21,1.3925693611e-10
2.5207537849e+21,1.3632294330e-10
2.5243807687e+21,1.3344993770e-10
2.5280077526e+21,1.3063667165e-10
2.5316347365e+21,1.2788192251e-10
