nu,B
7.9793644989e+20,1.6357631358e-06
8.0156343375e+20,1.6291756493e-06
8.0519041761e+20,1.6225261872e-06
8.0881740148e+20,1.6158164199e-06
8.1244438534e+20,1.6090480039e-06
8.1607136920e+20,1.6022225819e-06
8.1969835307e+20,1.5953417819e-06
8.2332533693e+20,1.5884072178e-06
8.2695232079e+20,1.5814204888e-06
8.3057930465e+20,1.5743831793e-06
8.3420628852e+20,1.5672968590e-06
8.3783327238e+20,1.5601630827e-06
8.4146025624e+20,1.5529833898e-06
8.4508724011e+20,1.5457593048e-06
8.4871422397e+20,1.5384923368e-06
8.5234120783e+20,1.5311839794e-06
8.5596819170e+20,1.5238357107e-06
8.5959517556e+20,1.5164489935e-06
8.6322215942e+20,1.5090252746e-06
8.6684914329e+20,1.5015659853e-06
8.7047612715e+20,1.4940725411e-06
8.7410311101e+20,1.4865463416e-06
8.7773009488e+20,1.4789887705e-06
8.8135707874e+20,1.4714011956e-06
8.8498406260e+20,1.4637849688e-06
8.8861104646e+20,1.4561414258e-06
8.9223803033e+20,1.4484718865e-06
8.9586501419e+20,1.4407776545e-06
8.9949199805e+20,1.4330600176e-06
9.0311898192e+20,1.4253202474e-06
9.0674596578e+20,1.4175595993e-06
9.1037294964e+20,1.4097793128e-06
9.1399993351e+20,1.4019806112e-06
9.1762691737e+20,1.3941647017e-06
9.2125390123e+20,1.3863327755e-06
9.2488088510e+20,1.3784860079e-06
9.2850786896e+20,1.3706255579e-06
9.3213485282e+20,1.3627525686e-06
9.3576183668e+20,1.3548681673e-06
9.3938882055e+20,1.3469734651e-06
9.4301580441e+20,1.3390695574e-06
9.4664278827e+20,1.3311575238e-06
9.5026977214e+20,1.3232384278e-06
9.5389675600e+20,1.3153133174e-06
9.5752373986e+20,1.3073832250e-06
9.6115072373e+20,1.2994491670e-06
9.6477770759e+20,1.2915121444e-06
9.6840469145e+20,1.2835731428e-06
9.7203167532e+20,1.2756331323e-06
9.7565865918e+20,1.2676930673e-06
9.7928564304e+20,1.2597538874e-06
9.8291262691e+20,1.2518165164e-06
9.8653961077e+20,1.2438818635e-06
9.9016659463e+20,1.2359508225e-06
9.9379357849e+20,1.2280242721e-06
9.9742056236e+20,1.2201030763e-06
1.0010475462e+21,1.2121880843e-06
1.0046745301e+21,1.2042801304e-06
1.0083015139e+21,1.1963800343e-06
1.0119284978e+21,1.1884886012e-06
1.0155554817e+21,1.1806066219e-06
1.0191824655e+21,1.1727348726e-06
1.0228094494e+21,1.1648741155e-06
1.0264364333e+21,1.1570250985e-06
1.0300634171e+21,1.1491885556e-06
1.0336904010e+21,1.1413652066e-06
1.0373173849e+21,1.1335557577e-06
1.0409443687e+21,1.1257609012e-06
1.0445713526e+21,1.1179813159e-06
1.0481983364e+21,1.1102176670e-06
1.0518253203e+21,1.1024706064e-06
1.0554523042e+21,1.0947407724e-06
1.0590792880e+21,1.0870287906e-06
1.0627062719e+21,1.0793352732e-06
1.0663332558e+21,1.0716608196e-06
1.0699602396e+21,1.0640060162e-06
1.0735872235e+21,1.0563714370e-06
1.0772142073e+21,1.0487576431e-06
1.0808411912e+21,1.0411651832e-06
1.0844681751e+21,1.0335945939e-06
1.0880951589e+21,1.0260463992e-06
1.0917221428e+21,1.0185211112e-06
1.0953491267e+21,1.0110192300e-06
1.0989761105e+21,1.0035412438e-06
1.1026030944e+21,9.9608762915e-07
1.1062300783e+21,9.8865885081e-07
1.1098570621e+21,9.8125536219e-07
1.1134840460e+21,9.7387760528e-07
1.1171110298e+21,9.6652601084e-07
1.1207380137e+21,9.5920099848e-07
1.1243649976e+21,9.5190297686e-07
1.1279919814e+21,9.4463234373e-07
1.1316189653e+21,9.3738948611e-07
1.1352459492e+21,9.3017478042e-07
1.1388729330e+21,9.2298859255e-07
1.1424999169e+21,9.1583127803e-07
1.1461269007e+21,9.0870318216e-07
1.1497538846e+21,9.0160464010e-07
1.1533808685e+21,8.9453597703e-07
1.1570078523e+21,8.8749750824e-07
1.1606348362e+21,8.8048953929e-07
1.1642618201e+21,8.7351236612e-07
1.1678888039e+21,8.6656627514e-07
1.1715157878e+21,8.5965154342e-07
1.1751427717e+21,8.5276843875e-07
1.1787697555e+21,8.4591721981e-07
1.1823967394e+21,8.3909813626e-07
1.1860237232e+21,8.3231142888e-07
1.1896507071e+21,8.2555732968e-07
1.1932776910e+21,8.1883606204e-07
