r,P,m,rho
1.780000e-02,1.501028e+02,1.148747e-05,8.643690e+00
1.790000e-02,1.501018e+02,1.152098e-05,8.643673e+00
1.800000e-02,1.501008e+02,1.155506e-05,8.643655e+00
1.810000e-02,1.500997e+02,1.158971e-05,8.643638e+00
1.820000e-02,1.500987e+02,1.162493e-05,8.643620e+00
1.830000e-02,1.500976e+02,1.166073e-05,8.643602e+00
1.840000e-02,1.500965e+02,1.169712e-05,8.643584e+00
1.850000e-02,1.500954e+02,1.173411e-05,8.643566e+00
1.860000e-02,1.500943e+02,1.177170e-05,8.643548e+00
1.870000e-02,1.500932e+02,1.180989e-05,8.643529e+00
1.880000e-02,1.500921e+02,1.184870e-05,8.643510e+00
1.890000e-02,1.500910e+02,1.188814e-05,8.643491e+00
1.900000e-02,1.500898e+02,1.192819e-05,8.643472e+00
1.910000e-02,1.500887e+02,1.196888e-05,8.643452e+00
1.920000e-02,1.500875e+02,1.201022e-05,8.643433e+00
1.930000e-02,1.500863e+02,1.205220e-05,8.643413e+00
1.940000e-02,1.500851e+02,1.209483e-05,8.643393e+00
1.950000e-02,1.500839e+02,1.213812e-05,8.643373e+00
1.960000e-02,1.500827e+02,1.218208e-05,8.643352e+00
1.970000e-02,1.500815e+02,1.222672e-05,8.643332e+00
1.980000e-02,1.500802e+02,1.227204e-05,8.643311e+00
1.990000e-02,1.500790e+02,1.231804e-05,8.643290e+00
2.000000e-02,1.500777e+02,1.236474e-05,8.643269e+00
2.010000e-02,1.500764e+02,1.241214e-05,8.643247e+00
2.020000e-02,1.500751e+02,1.246025e-05,8.643225e+00
2.030000e-02,1.500738e+02,1.250908e-05,8.643204e+00
2.040000e-02,1.500725e+02,1.255863e-05,8.643181e+00
2.050000e-02,1.500711e+02,1.260891e-05,8.643159e+00
2.060000e-02,1.500698e+02,1.265993e-05,8.643137e+00
2.070000e-02,1.500684e+02,1.271169e-05,8.643114e+00
2.080000e-02,1.500671e+02,1.276420e-05,8.643091e+00
2.090000e-02,1.500657e+02,1.281747e-05,8.643068e+00
2.100000e-02,1.500643e+02,1.287151e-05,8.643044e+00
2.110000e-02,1.500629e+02,1.292632e-05,8.643021e+00
2.120000e-02,1.500615e+02,1.298191e-05,8.642997e+00
2.130000e-02,1.500600e+02,1.303829e-05,8.642973e+00
2.140000e-02,1.500586e+02,1.309546e-05,8.642948e+00
2.150000e-02,1.500571e+02,1.315344e-05,8.642924e+00
2.160000e-02,1.500556e+02,1.321223e-05,8.642899e+00
