r,P,m
3.2194433494e-02,9.4847437315e+02,2.8357310279e-07
3.2394398920e-02,9.4847379446e+02,2.8885688084e-07
3.2594364345e-02,9.4847321221e+02,2.9420588806e-07
3.2794329771e-02,9.4847262640e+02,2.9962052458e-07
3.2994295196e-02,9.4847203703e+02,3.0510119053e-07
3.3194260621e-02,9.4847144410e+02,3.1064828604e-07
3.3394226047e-02,9.4847084761e+02,3.1626221125e-07
3.3594191472e-02,9.4847024755e+02,3.2194336628e-07
3.3794156898e-02,9.4846964394e+02,3.2769215127e-07
3.3994122323e-02,9.4846903677e+02,3.3350896634e-07
3.4194087749e-02,9.4846842603e+02,3.3939421162e-07
3.4394053174e-02,9.4846781174e+02,3.4534828724e-07
3.4594018599e-02,9.4846719388e+02,3.5137159333e-07
3.4793984025e-02,9.4846657246e+02,3.5746453000e-07
3.4993949450e-02,9.4846594748e+02,3.6362749739e-07
3.5193914876e-02,9.4846531894e+02,3.6986089561e-07
3.5393880301e-02,9.4846468684e+02,3.7616512479e-07
3.5593845727e-02,9.4846405118e+02,3.8254058505e-07
3.5793811152e-02,9.4846341196e+02,3.8898767652e-07
3.5993776577e-02,9.4846276918e+02,3.9550679930e-07
3.6193742003e-02,9.4846212284e+02,4.0209835352e-07
3.6393707428e-02,9.4846147293e+02,4.0876273931e-07
3.6593672854e-02,9.4846081947e+02,4.1550035676e-07
3.6793638279e-02,9.4846016245e+02,4.2231160601e-07
3.6993603705e-02,9.4845950186e+02,4.2919688717e-07
3.7193569130e-02,9.4845883771e+02,4.3615660034e-07
3.7393534555e-02,9.4845817001e+02,4.4319114565e-07
3.7593499981e-02,9.4845749874e+02,4.5030092320e-07
3.7793465406e-02,9.4845682391e+02,4.5748633311e-07
3.7993430832e-02,9.4845614552e+02,4.6474777549e-07
3.8193396257e-02,9.4845546357e+02,4.7208565045e-07
3.8393361683e-02,9.4845477806e+02,4.7950035809e-07
3.8593327108e-02,9.4845408899e+02,4.8699229852e-07
3.8793292533e-02,9.4845339636e+02,4.9456187185e-07
3.8993257959e-02,9.4845270017e+02,5.0220947819e-07
3.9193223384e-02,9.4845200041e+02,5.0993551764e-07
3.9393188810e-02,9.4845129710e+02,5.1774039030e-07
3.9593154235e-02,9.4845059023e+02,5.2562449628e-07
3.9793119661e-02,9.4844987979e+02,5.3358823568e-07
3.9993085086e-02,9.4844916580e+02,5.4163200859e-07
4.0193050511e-02,9.4844844824e+02,5.4975621512e-07
4.0393015937e-02,9.4844772712e+02,5.5796125537e-07
4.0592981362e-02,9.4844700245e+02,5.6624752943e-07
4.0792946788e-02,9.4844627421e+02,5.7461543740e-07
4.0992912213e-02,9.4844554241e+02,5.8306537938e-07
4.1192877639e-02,9.4844480705e+02,5.9159775546e-07
4.1392843064e-02,9.4844406813e+02,6.0021296573e-07
4.1592808489e-02,9.4844332565e+02,6.0891141028e-07
4.1792773915e-02,9.4844257961e+02,6.1769348922e-07
4.1992739340e-02,9.4844183001e+02,6.2655960262e-07
4.2192704766e-02,9.4844107685e+02,6.3551015057e-07
4.2392670191e-02,9.4844032012e+02,6.4454553317e-07
4.2592635617e-02,9.4843955984e+02,6.5366615051e-07
4.2792601042e-02,9.4843879600e+02,6.6287240266e-07
4.2992566467e-02,9.4843802860e+02,6.7216468971e-07
4.3192531893e-02,9.4843725763e+02,6.8154341174e-07
4.3392497318e-02,9.4843648311e+02,6.9100896885e-07
4.3592462744e-02,9.4843570502e+02,7.0056176111e-07
4.3792428169e-02,9.4843492338e+02,7.1020218859e-07
4.3992393595e-02,9.4843413817e+02,7.1993065139e-07
4.4192359020e-02,9.4843334940e+02,7.2974754958e-07
4.4392324445e-02,9.4843255708e+02,7.3965328323e-07
4.4592289871e-02,9.4843176119e+02,7.4964825242e-07
4.4792255296e-02,9.4843096174e+02,7.5973285723e-07
4.4992220722e-02,9.4843015873e+02,7.6990749772e-07
4.5192186147e-02,9.4842935216e+02,7.8017257398e-07
4.5392151573e-02,9.4842854204e+02,7.9052848608e-07
4.5592116998e-02,9.4842772835e+02,8.0097563408e-07
4.5792082423e-02,9.4842691110e+02,8.1151441805e-07
4.5992047849e-02,9.4842609029e+02,8.2214523806e-07
4.6192013274e-02,9.4842526591e+02,8.3286849418e-07
4.6391978700e-02,9.4842443798e+02,8.4368458647e-07
4.6591944125e-02,9.4842360649e+02,8.5459391501e-07
4.6791909551e-02,9.4842277144e+02,8.6559687984e-07
4.6991874976e-02,9.4842193283e+02,8.7669388104e-07
4.7191840401e-02,9.4842109066e+02,8.8788531866e-07
4.7391805827e-02,9.4842024492e+02,8.9917159277e-07
4.7591771252e-02,9.4841939563e+02,9.1055310342e-07
4.7791736678e-02,9.4841854278e+02,9.2203025067e-07
4.7991702103e-02,9.4841768636e+02,9.3360343457e-07
4.8191667529e-02,9.4841682639e+02,9.4527305519e-07
4.8391632954e-02,9.4841596286e+02,9.5703951257e-07
