r,Phi
5.5790353695e-02,-4.7619695002e-01
5.5990319120e-02,-4.7619679934e-01
5.6190284546e-02,-4.7619664813e-01
5.6390249971e-02,-4.7619649637e-01
5.6590215397e-02,-4.7619634409e-01
5.6790180822e-02,-4.7619619126e-01
5.6990146248e-02,-4.7619603790e-01
5.7190111673e-02,-4.7619588400e-01
5.7390077098e-02,-4.7619572957e-01
5.7590042524e-02,-4.7619557460e-01
5.7790007949e-02,-4.7619541909e-01
5.7989973375e-02,-4.7619526304e-01
5.8189938800e-02,-4.7619510646e-01
5.8389904226e-02,-4.7619494934e-01
5.8589869651e-02,-4.7619479169e-01
5.8789835076e-02,-4.7619463350e-01
5.8989800502e-02,-4.7619447477e-01
5.9189765927e-02,-4.7619431550e-01
5.9389731353e-02,-4.7619415570e-01
5.9589696778e-02,-4.7619399536e-01
5.9789662204e-02,-4.7619383449e-01
5.9989627629e-02,-4.7619367308e-01
6.0189593054e-02,-4.7619351113e-01
6.0389558480e-02,-4.7619334864e-01
6.0589523905e-02,-4.7619318562e-01
6.0789489331e-02,-4.7619302206e-01
6.0989454756e-02,-4.7619285797e-01
6.1189420182e-02,-4.7619269333e-01
6.1389385607e-02,-4.7619252816e-01
6.1589351032e-02,-4.7619236246e-01
6.1789316458e-02,-4.7619219622e-01
6.1989281883e-02,-4.7619202944e-01
6.2189247309e-02,-4.7619186212e-01
6.2389212734e-02,-4.7619169427e-01
6.2589178160e-02,-4.7619152588e-01
6.2789143585e-02,-4.7619135695e-01
6.2989109010e-02,-4.7619118749e-01
6.3189074436e-02,-4.7619101749e-01
6.3389039861e-02,-4.7619084695e-01
6.3589005287e-02,-4.7619067588e-01
6.3788970712e-02,-4.7619050427e-01
6.3988936138e-02,-4.7619033213e-01
6.4188901563e-02,-4.7619015944e-01
6.4388866988e-02,-4.7618998622e-01
6.4588832414e-02,-4.7618981247e-01
6.4788797839e-02,-4.7618963817e-01
6.4988763265e-02,-4.7618946334e-01
6.5188728690e-02,-4.7618928798e-01
6.5388694116e-02,-4.7618911207e-01
6.5588659541e-02,-4.7618893563e-01
6.5788624966e-02,-4.7618875866e-01
6.5988590392e-02,-4.7618858114e-01
6.6188555817e-02,-4.7618840309e-01
6.6388521243e-02,-4.7618822451e-01
6.6588486668e-02,-4.7618804538e-01
6.6788452094e-02,-4.7618786572e-01
