P,rho
4.260000e+00,3.080600e+00
4.270000e+00,3.082671e+00
4.280000e+00,3.084739e+00
4.290000e+00,3.086803e+00
4.300000e+00,3.088864e+00
4.310000e+00,3.090921e+00
4.320000e+00,3.092975e+00
4.330000e+00,3.095026e+00
4.340000e+00,3.097074e+00
4.350000e+00,3.099118e+00
4.360000e+00,3.101158e+00
4.370000e+00,3.103196e+00
4.380000e+00,3.105230e+00
4.390000e+00,3.107261e+00
4.400000e+00,3.109289e+00
4.410000e+00,3.111314e+00
4.420000e+00,3.113335e+00
4.430000e+00,3.115353e+00
4.440000e+00,3.117368e+00
4.450000e+00,3.119380e+00
4.460000e+00,3.121389e+00
4.470000e+00,3.123394e+00
4.480000e+00,3.125397e+00
4.490000e+00,3.127396e+00
4.500000e+00,3.129392e+00
4.510000e+00,3.131385e+00
4.520000e+00,3.133375e+00
4.530000e+00,3.135362e+00
4.540000e+00,3.137345e+00
4.550000e+00,3.139326e+00
4.560000e+00,3.141304e+00
4.570000e+00,3.143278e+00
4.580000e+00,3.145250e+00
4.590000e+00,3.147218e+00
4.600000e+00,3.149184e+00
4.610000e+00,3.151147e+00
4.620000e+00,3.153106e+00
4.630000e+00,3.155063e+00
4.640000e+00,3.157016e+00
4.650000e+00,3.158967e+00
4.660000e+00,3.160915e+00
4.670000e+00,3.162860e+00
4.680000e+00,3.164802e+00
4.690000e+00,3.166741e+00
4.700000e+00,3.168677e+00
4.710000e+00,3.170610e+00
4.720000e+00,3.172540e+00
4.730000e+00,3.174468e+00
4.740000e+00,3.176392e+00
4.750000e+00,3.178314e+00
4.760000e+00,3.180233e+00
4.770000e+00,3.182149e+00
4.780000e+00,3.184063e+00
4.790000e+00,3.185973e+00
4.800000e+00,3.187881e+00
4.810000e+00,3.189786e+00
4.820000e+00,3.191688e+00
4.830000e+00,3.193587e+00
4.840000e+00,3.195484e+00
4.850000e+00,3.197378e+00
4.860000e+00,3.199269e+00
4.870000e+00,3.201157e+00
4.880000e+00,3.203043e+00
4.890000e+00,3.204926e+00
4.900000e+00,3.206806e+00
4.910000e+00,3.208684e+00
4.920000e+00,3.210559e+00
4.930000e+00,3.212431e+00
4.940000e+00,3.214301e+00
4.950000e+00,3.216168e+00
4.960000e+00,3.218032e+00
4.970000e+00,3.219893e+00
4.980000e+00,3.221753e+00
4.990000e+00,3.223609e+00
