r,P,m
5.2761613500e-02,9.4740993538e+02,1.1468941000e-06
5.2962228000e-02,9.4740899451e+02,1.1599760292e-06
5.3162842500e-02,9.4740805007e+02,1.1731570561e-06
5.3363457000e-02,9.4740710208e+02,1.1864375546e-06
5.3564071500e-02,9.4740615053e+02,1.1998178984e-06
5.3764686000e-02,9.4740519543e+02,1.2132984614e-06
5.3965300500e-02,9.4740423677e+02,1.2268796174e-06
5.4165915000e-02,9.4740327456e+02,1.2405617404e-06
5.4366529500e-02,9.4740230878e+02,1.2543452041e-06
5.4567144000e-02,9.4740133946e+02,1.2682303823e-06
5.4767758500e-02,9.4740036657e+02,1.2822176489e-06
5.4968373000e-02,9.4739939013e+02,1.2963073777e-06
5.5168987500e-02,9.4739841013e+02,1.3104999425e-06
5.5369602000e-02,9.4739742658e+02,1.3247957173e-06
5.5570216500e-02,9.4739643947e+02,1.3391950757e-06
5.5770831000e-02,9.4739544880e+02,1.3536983917e-06
5.5971445500e-02,9.4739445458e+02,1.3683060391e-06
5.6172060000e-02,9.4739345680e+02,1.3830183916e-06
5.6372674500e-02,9.4739245547e+02,1.3978358231e-06
5.6573289000e-02,9.4739145058e+02,1.4127587074e-06
5.6773903500e-02,9.4739044213e+02,1.4277874184e-06
5.6974518000e-02,9.4738943013e+02,1.4429223299e-06
5.7175132500e-02,9.4738841457e+02,1.4581638156e-06
5.7375747000e-02,9.4738739545e+02,1.4735122495e-06
5.7576361500e-02,9.4738637278e+02,1.4889680052e-06
5.7776976000e-02,9.4738534655e+02,1.5045314567e-06
5.7977590500e-02,9.4738431677e+02,1.5202029777e-06
5.8178205000e-02,9.4738328343e+02,1.5359829421e-06
5.8378819500e-02,9.4738224653e+02,1.5518717236e-06
5.8579434000e-02,9.4738120608e+02,1.5678696961e-06
5.8780048500e-02,9.4738016207e+02,1.5839772334e-06
5.8980663000e-02,9.4737911450e+02,1.6001947092e-06
5.9181277500e-02,9.4737806338e+02,1.6165224974e-06
5.9381892000e-02,9.4737700871e+02,1.6329609718e-06
5.9582506500e-02,9.4737595047e+02,1.6495105062e-06
5.9783121000e-02,9.4737488868e+02,1.6661714744e-06
5.9983735500e-02,9.4737382334e+02,1.6829442501e-06
6.0184350000e-02,9.4737275444e+02,1.6998292072e-06
6.0384964500e-02,9.4737168198e+02,1.7168267195e-06
6.0585579000e-02,9.4737060597e+02,1.7339371608e-06
6.0786193500e-02,9.4736952640e+02,1.7511609048e-06
6.0986808000e-02,9.4736844327e+02,1.7684983254e-06
6.1187422500e-02,9.4736735659e+02,1.7859497963e-06
6.1388037000e-02,9.4736626636e+02,1.8035156913e-06
6.1588651500e-02,9.4736517256e+02,1.8211963843e-06
6.1789266000e-02,9.4736407521e+02,1.8389922490e-06
6.1989880500e-02,9.4736297431e+02,1.8569036591e-06
6.2190495000e-02,9.4736186985e+02,1.8749309885e-06
6.2391109500e-02,9.4736076183e+02,1.8930746110e-06
6.2591724000e-02,9.4735965026e+02,1.9113349002e-06
6.2792338500e-02,9.4735853513e+02,1.9297122301e-06
6.2992953000e-02,9.4735741645e+02,1.9482069744e-06
6.3193567500e-02,9.4735629421e+02,1.9668195068e-06
6.3394182000e-02,9.4735516841e+02,1.9855502011e-06
6.3594796500e-02,9.4735403906e+02,2.0043994312e-06
6.3795411000e-02,9.4735290615e+02,2.0233675707e-06
6.3996025500e-02,9.4735176969e+02,2.0424549934e-06
6.4196640000e-02,9.4735062967e+02,2.0616620732e-06
6.4397254500e-02,9.4734948610e+02,2.0809891837e-06
6.4597869000e-02,9.4734833896e+02,2.1004366988e-06
6.4798483500e-02,9.4734718828e+02,2.1200049922e-06
6.4999098000e-02,9.4734603404e+02,2.1396944376e-06
6.5199712500e-02,9.4734487624e+02,2.1595054088e-06
6.5400327000e-02,9.4734371488e+02,2.1794382797e-06
6.5600941500e-02,9.4734254997e+02,2.1994934238e-06
6.5801556000e-02,9.4734138151e+02,2.2196712151e-06
6.6002170500e-02,9.4734020949e+02,2.2399720272e-06
6.6202785000e-02,9.4733903391e+02,2.2603962339e-06
6.6403399500e-02,9.4733785478e+02,2.2809442089e-06
6.6604014000e-02,9.4733667209e+02,2.3016163260e-06
6.6804628500e-02,9.4733548585e+02,2.3224129590e-06
6.7005243000e-02,9.4733429605e+02,2.3433344816e-06
6.7205857500e-02,9.4733310269e+02,2.3643812675e-06
6.7406472000e-02,9.4733190578e+02,2.3855536905e-06
6.7607086500e-02,9.4733070532e+02,2.4068521243e-06
6.7807701000e-02,9.4732950130e+02,2.4282769426e-06
6.8008315500e-02,9.4732829372e+02,2.4498285192e-06
6.8208930000e-02,9.4732708259e+02,2.4715072279e-06
6.8409544500e-02,9.4732586790e+02,2.4933134423e-06
6.8610159000e-02,9.4732464965e+02,2.5152475363e-06
6.8810773500e-02,9.4732342785e+02,2.5373098834e-06
6.9011388000e-02,9.4732220250e+02,2.5595008575e-06
6.9212002500e-02,9.4732097359e+02,2.5818208323e-06
6.9412617000e-02,9.4731974112e+02,2.6042701815e-06
6.9613231500e-02,9.4731850510e+02,2.6268492789e-06
6.9813846000e-02,9.4731726552e+02,2.6495584981e-06
7.0014460500e-02,9.4731602239e+02,2.6723982129e-06
7.0215075000e-02,9.4731477570e+02,2.6953687970e-06
7.0415689500e-02,9.4731352546e+02,2.7184706241e-06
7.0616304000e-02,9.4731227166e+02,2.7417040679e-06
7.0816918500e-02,9.4731101431e+02,2.7650695022e-06
7.1017533000e-02,9.4730975340e+02,2.7885673007e-06
7.1218147500e-02,9.4730848893e+02,2.8121978371e-06
7.1418762000e-02,9.4730722091e+02,2.8359614850e-06
7.1619376500e-02,9.4730594934e+02,2.8598586182e-06
7.1819991000e-02,9.4730467421e+02,2.8838896104e-06
7.2020605500e-02,9.4730339552e+02,2.9080548354e-06
7.2221220000e-02,9.4730211328e+02,2.9323546667e-06
7.2421834500e-02,9.4730082748e+02,2.9567894781e-06
7.2622449000e-02,9.4729953813e+02,2.9813596434e-06
7.2823063500e-02,9.4729824522e+02,3.0060655362e-06
7.3023678000e-02,9.4729694876e+02,3.0309075301e-06
7.3224292500e-02,9.4729564874e+02,3.0558859990e-06
7.3424907000e-02,9.4729434517e+02,3.0810013165e-06
7.3625521500e-02,9.4729303804e+02,3.1062538562e-06
7.3826136000e-02,9.4729172735e+02,3.1316439919e-06
7.4026750500e-02,9.4729041312e+02,3.1571720973e-06
7.4227365000e-02,9.4728909532e+02,3.1828385460e-06
7.4427979500e-02,9.4728777397e+02,3.2086437117e-06
7.4628594000e-02,9.4728644907e+02,3.2345879682e-06
7.4829208500e-02,9.4728512061e+02,3.2606716890e-06
7.5029823000e-02,9.4728378859e+02,3.2868952480e-06
7.5230437500e-02,9.4728245302e+02,3.3132590186e-06
7.5431052000e-02,9.4728111390e+02,3.3397633747e-06
7.5631666500e-02,9.4727977122e+02,3.3664086899e-06
7.5832281000e-02,9.4727842498e+02,3.3931953379e-06
7.6032895500e-02,9.4727707519e+02,3.4201236923e-06
7.6233510000e-02,9.4727572185e+02,3.4471941268e-06
7.6434124500e-02,9.4727436495e+02,3.4744070150e-06
7.6634739000e-02,9.4727300449e+02,3.5017627307e-06
7.6835353500e-02,9.4727164048e+02,3.5292616475e-06
7.7035968000e-02,9.4727027291e+02,3.5569041391e-06
7.7236582500e-02,9.4726890179e+02,3.5846905791e-06
7.7437197000e-02,9.4726752712e+02,3.6126213412e-06
7.7637811500e-02,9.4726614889e+02,3.6406967990e-06
7.7838426000e-02,9.4726476710e+02,3.6689173262e-06
7.8039040500e-02,9.4726338176e+02,3.6972832964e-06
7.8239655000e-02,9.4726199287e+02,3.7257950833e-06
7.8440269500e-02,9.4726060041e+02,3.7544530605e-06
7.8640884000e-02,9.4725920441e+02,3.7832576018e-06
7.8841498500e-02,9.4725780485e+02,3.8122090806e-06
7.9042113000e-02,9.4725640173e+02,3.8413078708e-06
7.9242727500e-02,9.4725499506e+02,3.8705543458e-06
7.9443342000e-02,9.4725358484e+02,3.8999488794e-06
7.9643956500e-02,9.4725217106e+02,3.9294918452e-06
7.9844571000e-02,9.4725075373e+02,3.9591836168e-06
8.0045185500e-02,9.4724933284e+02,3.9890245678e-06
8.0245800000e-02,9.4724790839e+02,4.0190150719e-06
8.0446414500e-02,9.4724648039e+02,4.0491555028e-06
8.0647029000e-02,9.4724504884e+02,4.0794462340e-06
8.0847643500e-02,9.4724361373e+02,4.1098876391e-06
8.1048258000e-02,9.4724217507e+02,4.1404800919e-06
8.1248872500e-02,9.4724073285e+02,4.1712239658e-06
8.1449487000e-02,9.4723928708e+02,4.2021196346e-06
8.1650101500e-02,9.4723783775e+02,4.2331674719e-06
8.1850716000e-02,9.4723638487e+02,4.2643678512e-06
8.2051330500e-02,9.4723492843e+02,4.2957211462e-06
8.2251945000e-02,9.4723346844e+02,4.3272277304e-06
8.2452559500e-02,9.4723200490e+02,4.3588879776e-06
8.2653174000e-02,9.4723053780e+02,4.3907022613e-06
8.2853788500e-02,9.4722906714e+02,4.4226709551e-06
8.3054403000e-02,9.4722759293e+02,4.4547944327e-06
8.3255017500e-02,9.4722611517e+02,4.4870730675e-06
8.3455632000e-02,9.4722463385e+02,4.5195072333e-06
8.3656246500e-02,9.4722314898e+02,4.5520973036e-06
8.3856861000e-02,9.4722166055e+02,4.5848436520e-06
8.4057475500e-02,9.4722016857e+02,4.6177466522e-06
8.4258090000e-02,9.4721867303e+02,4.6508066776e-06
8.4458704500e-02,9.4721717394e+02,4.6840241020e-06
8.4659319000e-02,9.4721567129e+02,4.7173992988e-06
8.4859933500e-02,9.4721416509e+02,4.7509326417e-06
8.5060548000e-02,9.4721265534e+02,4.7846245043e-06
8.5261162500e-02,9.4721114203e+02,4.8184752601e-06
8.5461777000e-02,9.4720962517e+02,4.8524852827e-06
8.5662391500e-02,9.4720810475e+02,4.8866549457e-06
8.5863006000e-02,9.4720658077e+02,4.9209846227e-06
8.6063620500e-02,9.4720505325e+02,4.9554746872e-06
8.6264235000e-02,9.4720352217e+02,4.9901255129e-06
8.6464849500e-02,9.4720198753e+02,5.0249374733e-06
8.6665464000e-02,9.4720044934e+02,5.0599109419e-06
8.6866078500e-02,9.4719890760e+02,5.0950462923e-06
8.7066693000e-02,9.4719736230e+02,5.1303438982e-06
8.7267307500e-02,9.4719581345e+02,5.1658041329e-06
8.7467922000e-02,9.4719426104e+02,5.2014273703e-06
8.7668536500e-02,9.4719270508e+02,5.2372139836e-06
8.7869151000e-02,9.4719114556e+02,5.2731643466e-06
8.8069765500e-02,9.4718958249e+02,5.3092788328e-06
8.8270380000e-02,9.4718801587e+02,5.3455578157e-06
8.8470994500e-02,9.4718644569e+02,5.3820016689e-06
8.8671609000e-02,9.4718487196e+02,5.4186107659e-06
8.8872223500e-02,9.4718329468e+02,5.4553854803e-06
8.9072838000e-02,9.4718171383e+02,5.4923261857e-06
8.9273452500e-02,9.4718012944e+02,5.5294332555e-06
8.9474067000e-02,9.4717854149e+02,5.5667070632e-06
8.9674681500e-02,9.4717694999e+02,5.6041479826e-06
8.9875296000e-02,9.4717535493e+02,5.6417563870e-06
9.0075910500e-02,9.4717375632e+02,5.6795326500e-06
9.0276525000e-02,9.4717215416e+02,5.7174771451e-06
9.0477139500e-02,9.4717054844e+02,5.7555902459e-06
9.0677754000e-02,9.4716893916e+02,5.7938723259e-06
9.0878368500e-02,9.4716732634e+02,5.8323237586e-06
9.1078983000e-02,9.4716570996e+02,5.8709449176e-06
9.1279597500e-02,9.4716409002e+02,5.9097361763e-06
9.1480212000e-02,9.4716246653e+02,5.9486979083e-06
9.1680826500e-02,9.4716083949e+02,5.9878304871e-06
9.1881441000e-02,9.4715920889e+02,6.0271342862e-06
9.2082055500e-02,9.4715757474e+02,6.0666096791e-06
9.2282670000e-02,9.4715593704e+02,6.1062570393e-06
9.2483284500e-02,9.4715429578e+02,6.1460767404e-06
9.2683899000e-02,9.4715265097e+02,6.1860691558e-06
9.2884513500e-02,9.4715100260e+02,6.2262346590e-06
9.3085128000e-02,9.4714935068e+02,6.2665736236e-06
9.3285742500e-02,9.4714769521e+02,6.3070864231e-06
