r,Pot
6.53331e+01,4.39315e+15
6.55337e+01,4.39261e+15
6.57344e+01,4.39208e+15
6.59350e+01,4.39155e+15
6.61356e+01,4.39102e+15
6.63362e+01,4.39049e+15
6.65368e+01,4.38997e+15
6.67374e+01,4.38945e+15
6.69380e+01,4.38894e+15
6.71387e+01,4.38843e+15
6.73393e+01,4.38792e+15
6.75399e+01,4.38741e+15
6.77405e+01,4.38691e+15
6.79411e+01,4.38641e+15
6.81417e+01,4.38592e+15
6.83423e+01,4.38542e+15
6.85430e+01,4.38493e+15
6.87436e+01,4.38445e+15
6.89442e+01,4.38396e+15
6.91448e+01,4.38348e+15
6.93454e+01,4.38301e+15
6.95460e+01,4.38253e+15
6.97466e+01,4.38206e+15
6.99473e+01,4.38159e+15
7.01479e+01,4.38112e+15
7.03485e+01,4.38066e+15
7.05491e+01,4.38020e+15
7.07497e+01,4.37974e+15
7.09503e+01,4.37929e+15
7.11509e+01,4.37883e+15
7.13516e+01,4.37838e+15
7.15522e+01,4.37794e+15
7.17528e+01,4.37749e+15
7.19534e+01,4.37705e+15
7.21540e+01,4.37661e+15
7.23546e+01,4.37617e+15
7.25552e+01,4.37574e+15
7.27559e+01,4.37531e+15
7.29565e+01,4.37488e+15
7.31571e+01,4.37445e+15
7.33577e+01,4.37403e+15
7.35583e+01,4.37361e+15
7.37589e+01,4.37319e+15
7.39595e+01,4.37277e+15
7.41602e+01,4.37235e+15
7.43608e+01,4.37194e+15
7.45614e+01,4.37153e+15
7.47620e+01,4.37112e+15
7.49626e+01,4.37072e+15
7.51632e+01,4.37032e+15
7.53638e+01,4.36992e+15
7.55645e+01,4.36952e+15
7.57651e+01,4.36912e+15
7.59657e+01,4.36873e+15
7.61663e+01,4.36833e+15
7.63669e+01,4.36794e+15
7.65675e+01,4.36756e+15
7.67681e+01,4.36717e+15
7.69688e+01,4.36679e+15
7.71694e+01,4.36641e+15
7.73700e+01,4.36603e+15
7.75706e+01,4.36565e+15
7.77712e+01,4.36527e+15
7.79718e+01,4.36490e+15
7.81724e+01,4.36453e+15
7.83731e+01,4.36416e+15
7.85737e+01,4.36379e+15
7.87743e+01,4.36343e+15
7.89749e+01,4.36307e+15
7.91755e+01,4.36270e+15
7.93761e+01,4.36234e+15
7.95768e+01,4.36199e+15
7.97774e+01,4.36163e+15
7.99780e+01,4.36128e+15
8.01786e+01,4.36093e+15
8.03792e+01,4.36058e+15
8.05798e+01,4.36023e+15
8.07804e+01,4.35988e+15
8.09811e+01,4.35954e+15
8.11817e+01,4.35919e+15
8.13823e+01,4.35885e+15
8.15829e+01,4.35851e+15
8.17835e+01,4.35818e+15
8.19841e+01,4.35784e+15
8.21847e+01,4.35751e+15
8.23854e+01,4.35717e+15
8.25860e+01,4.35684e+15
8.27866e+01,4.35651e+15
8.29872e+01,4.35619e+15
8.31878e+01,4.35586e+15
8.33884e+01,4.35554e+15
8.35890e+01,4.35521e+15
8.37897e+01,4.35489e+15
8.39903e+01,4.35457e+15
8.41909e+01,4.35426e+15
8.43915e+01,4.35394e+15
8.45921e+01,4.35363e+15
8.47927e+01,4.35331e+15
8.49933e+01,4.35300e+15
8.51940e+01,4.35269e+15
8.53946e+01,4.35238e+15
8.55952e+01,4.35208e+15
8.57958e+01,4.35177e+15
8.59964e+01,4.35147e+15
8.61970e+01,4.35117e+15
8.63976e+01,4.35086e+15
8.65983e+01,4.35056e+15
8.67989e+01,4.35027e+15
8.69995e+01,4.34997e+15
8.72001e+01,4.34968e+15
8.74007e+01,4.34938e+15
8.76013e+01,4.34909e+15
8.78019e+01,4.34880e+15
8.80026e+01,4.34851e+15
8.82032e+01,4.34822e+15
8.84038e+01,4.34793e+15
8.86044e+01,4.34765e+15
8.88050e+01,4.34736e+15
8.90056e+01,4.34708e+15
8.92062e+01,4.34680e+15
8.94069e+01,4.34652e+15
8.96075e+01,4.34624e+15
8.98081e+01,4.34596e+15
9.00087e+01,4.34569e+15
9.02093e+01,4.34541e+15
9.04099e+01,4.34514e+15
9.06105e+01,4.34487e+15
9.08112e+01,4.34460e+15
9.10118e+01,4.34433e+15
9.12124e+01,4.34406e+15
9.14130e+01,4.34379e+15
9.16136e+01,4.34352e+15
9.18142e+01,4.34326e+15
9.20148e+01,4.34299e+15
9.22155e+01,4.34273e+15
9.24161e+01,4.34247e+15
9.26167e+01,4.34221e+15
9.28173e+01,4.34195e+15
9.30179e+01,4.34169e+15
9.32185e+01,4.34144e+15
9.34192e+01,4.34118e+15
9.36198e+01,4.34093e+15
9.38204e+01,4.34067e+15
9.40210e+01,4.34042e+15
9.42216e+01,4.34017e+15
9.44222e+01,4.33992e+15
9.46228e+01,4.33967e+15
9.48235e+01,4.33942e+15
9.50241e+01,4.33918e+15
9.52247e+01,4.33893e+15
9.54253e+01,4.33869e+15
9.56259e+01,4.33844e+15
9.58265e+01,4.33820e+15
9.60271e+01,4.33796e+15
9.62278e+01,4.33772e+15
9.64284e+01,4.33748e+15
9.66290e+01,4.33724e+15
9.68296e+01,4.33700e+15
9.70302e+01,4.33677e+15
9.72308e+01,4.33653e+15
9.74314e+01,4.33630e+15
9.76321e+01,4.33606e+15
9.78327e+01,4.33583e+15
9.80333e+01,4.33560e+15
9.82339e+01,4.33537e+15
9.84345e+01,4.33514e+15
9.86351e+01,4.33491e+15
9.88357e+01,4.33469e+15
9.90364e+01,4.33446e+15
9.92370e+01,4.33423e+15
9.94376e+01,4.33401e+15
9.96382e+01,4.33379e+15
9.98388e+01,4.33356e+15
1.00039e+02,4.33334e+15
1.00240e+02,4.33312e+15
1.00441e+02,4.33290e+15
1.00641e+02,4.33268e+15
1.00842e+02,4.33247e+15
1.01043e+02,4.33225e+15
1.01243e+02,4.33203e+15
1.01444e+02,4.33182e+15
1.01644e+02,4.33160e+15
1.01845e+02,4.33139e+15
1.02046e+02,4.33118e+15
1.02246e+02,4.33096e+15
1.02447e+02,4.33075e+15
1.02647e+02,4.33054e+15
1.02848e+02,4.33033e+15
1.03049e+02,4.33013e+15
1.03249e+02,4.32992e+15
1.03450e+02,4.32971e+15
1.03650e+02,4.32950e+15
1.03851e+02,4.32930e+15
1.04052e+02,4.32910e+15
1.04252e+02,4.32889e+15
1.04453e+02,4.32869e+15
1.04654e+02,4.32849e+15
1.04854e+02,4.32829e+15
1.05055e+02,4.32809e+15
1.05255e+02,4.32789e+15
1.05456e+02,4.32769e+15
1.05657e+02,4.32749e+15
1.05857e+02,4.32729e+15
1.06058e+02,4.32710e+15
1.06258e+02,4.32690e+15
1.06459e+02,4.32671e+15
1.06660e+02,4.32651e+15
1.06860e+02,4.32632e+15
1.07061e+02,4.32613e+15
1.07262e+02,4.32593e+15
1.07462e+02,4.32574e+15
1.07663e+02,4.32555e+15
1.07863e+02,4.32536e+15
1.08064e+02,4.32517e+15
1.08265e+02,4.32499e+15
1.08465e+02,4.32480e+15
1.08666e+02,4.32461e+15
1.08866e+02,4.32443e+15
1.09067e+02,4.32424e+15
1.09268e+02,4.32406e+15
1.09468e+02,4.32387e+15
1.09669e+02,4.32369e+15
1.09870e+02,4.32351e+15
1.10070e+02,4.32333e+15
1.10271e+02,4.32314e+15
1.10471e+02,4.32296e+15
1.10672e+02,4.32278e+15
1.10873e+02,4.32261e+15
1.11073e+02,4.32243e+15
1.11274e+02,4.32225e+15
1.11474e+02,4.32207e+15
1.11675e+02,4.32190e+15
1.11876e+02,4.32172e+15
1.12076e+02,4.32154e+15
1.12277e+02,4.32137e+15
1.12478e+02,4.32120e+15
1.12678e+02,4.32102e+15
1.12879e+02,4.32085e+15
1.13079e+02,4.32068e+15
1.13280e+02,4.32051e+15
1.13481e+02,4.32034e+15
1.13681e+02,4.32017e+15
1.13882e+02,4.32000e+15
1.14082e+02,4.31983e+15
1.14283e+02,4.31966e+15
1.14484e+02,4.31949e+15
1.14684e+02,4.31933e+15
1.14885e+02,4.31916e+15
1.15086e+02,4.31899e+15
1.15286e+02,4.31883e+15
1.15487e+02,4.31866e+15
1.15687e+02,4.31850e+15
1.15888e+02,4.31834e+15
1.16089e+02,4.31817e+15
1.16289e+02,4.31801e+15
1.16490e+02,4.31785e+15
1.16690e+02,4.31769e+15
1.16891e+02,4.31753e+15
1.17092e+02,4.31737e+15
1.17292e+02,4.31721e+15
1.17493e+02,4.31705e+15
1.17694e+02,4.31689e+15
1.17894e+02,4.31673e+15
1.18095e+02,4.31658e+15
1.18295e+02,4.31642e+15
1.18496e+02,4.31626e+15
1.18697e+02,4.31611e+15
1.18897e+02,4.31595e+15
1.19098e+02,4.31580e+15
1.19298e+02,4.31564e+15
1.19499e+02,4.31549e+15
1.19700e+02,4.31534e+15
1.19900e+02,4.31519e+15
1.20101e+02,4.31503e+15
1.20301e+02,4.31488e+15
1.20502e+02,4.31473e+15
1.20703e+02,4.31458e+15
1.20903e+02,4.31443e+15
1.21104e+02,4.31428e+15
1.21305e+02,4.31413e+15
1.21505e+02,4.31399e+15
1.21706e+02,4.31384e+15
1.21906e+02,4.31369e+15
1.22107e+02,4.31355e+15
1.22308e+02,4.31340e+15
1.22508e+02,4.31325e+15
1.22709e+02,4.31311e+15
1.22909e+02,4.31296e+15
1.23110e+02,4.31282e+15
1.23311e+02,4.31268e+15
1.23511e+02,4.31253e+15
1.23712e+02,4.31239e+15
1.23913e+02,4.31225e+15
1.24113e+02,4.31210e+15
1.24314e+02,4.31196e+15
1.24514e+02,4.31182e+15
1.24715e+02,4.31168e+15
1.24916e+02,4.31154e+15
1.25116e+02,4.31140e+15
1.25317e+02,4.31126e+15
1.25517e+02,4.31113e+15
1.25718e+02,4.31099e+15
1.25919e+02,4.31085e+15
1.26119e+02,4.31071e+15
1.26320e+02,4.31058e+15
1.26521e+02,4.31044e+15
1.26721e+02,4.31030e+15
