r,Pot
7.71056e+01,5.59460e+15
7.73062e+01,5.59431e+15
7.75068e+01,5.59402e+15
7.77074e+01,5.59374e+15
7.79080e+01,5.59346e+15
7.81087e+01,5.59318e+15
7.83093e+01,5.59290e+15
7.85099e+01,5.59262e+15
7.87105e+01,5.59234e+15
7.89111e+01,5.59207e+15
7.91117e+01,5.59179e+15
7.93123e+01,5.59152e+15
7.95130e+01,5.59125e+15
7.97136e+01,5.59098e+15
7.99142e+01,5.59071e+15
8.01148e+01,5.59045e+15
8.03154e+01,5.59018e+15
8.05160e+01,5.58992e+15
8.07166e+01,5.58965e+15
8.09173e+01,5.58939e+15
8.11179e+01,5.58913e+15
8.13185e+01,5.58887e+15
8.15191e+01,5.58862e+15
8.17197e+01,5.58836e+15
8.19203e+01,5.58811e+15
8.21209e+01,5.58785e+15
8.23216e+01,5.58760e+15
8.25222e+01,5.58735e+15
8.27228e+01,5.58710e+15
8.29234e+01,5.58685e+15
8.31240e+01,5.58660e+15
8.33246e+01,5.58636e+15
8.35252e+01,5.58611e+15
8.37259e+01,5.58587e+15
8.39265e+01,5.58563e+15
8.41271e+01,5.58539e+15
8.43277e+01,5.58515e+15
8.45283e+01,5.58491e+15
8.47289e+01,5.58467e+15
8.49296e+01,5.58443e+15
8.51302e+01,5.58420e+15
8.53308e+01,5.58396e+15
8.55314e+01,5.58373e+15
8.57320e+01,5.58350e+15
8.59326e+01,5.58327e+15
8.61332e+01,5.58304e+15
8.63339e+01,5.58281e+15
8.65345e+01,5.58258e+15
8.67351e+01,5.58235e+15
8.69357e+01,5.58213e+15
8.71363e+01,5.58190e+15
8.73369e+01,5.58168e+15
8.75375e+01,5.58146e+15
8.77382e+01,5.58124e+15
8.79388e+01,5.58102e+15
8.81394e+01,5.58080e+15
8.83400e+01,5.58058e+15
8.85406e+01,5.58036e+15
8.87412e+01,5.58015e+15
8.89418e+01,5.57993e+15
8.91425e+01,5.57972e+15
8.93431e+01,5.57950e+15
8.95437e+01,5.57929e+15
8.97443e+01,5.57908e+15
8.99449e+01,5.57887e+15
9.01455e+01,5.57866e+15
9.03461e+01,5.57845e+15
9.05468e+01,5.57824e+15
9.07474e+01,5.57804e+15
9.09480e+01,5.57783e+15
9.11486e+01,5.57763e+15
9.13492e+01,5.57742e+15
9.15498e+01,5.57722e+15
9.17504e+01,5.57702e+15
9.19511e+01,5.57682e+15
9.21517e+01,5.57662e+15
9.23523e+01,5.57642e+15
9.25529e+01,5.57622e+15
9.27535e+01,5.57602e+15
9.29541e+01,5.57583e+15
9.31547e+01,5.57563e+15
9.33554e+01,5.57544e+15
9.35560e+01,5.57524e+15
9.37566e+01,5.57505e+15
9.39572e+01,5.57486e+15
9.41578e+01,5.57467e+15
9.43584e+01,5.57448e+15
9.45590e+01,5.57429e+15
9.47597e+01,5.57410e+15
9.49603e+01,5.57391e+15
9.51609e+01,5.57372e+15
9.53615e+01,5.57354e+15
9.55621e+01,5.57335e+15
9.57627e+01,5.57317e+15
9.59633e+01,5.57298e+15
9.61640e+01,5.57280e+15
9.63646e+01,5.57262e+15
9.65652e+01,5.57243e+15
9.67658e+01,5.57225e+15
9.69664e+01,5.57207e+15
9.71670e+01,5.57189e+15
9.73676e+01,5.57171e+15
9.75683e+01,5.57154e+15
9.77689e+01,5.57136e+15
9.79695e+01,5.57118e+15
9.81701e+01,5.57101e+15
9.83707e+01,5.57083e+15
9.85713e+01,5.57066e+15
9.87720e+01,5.57048e+15
9.89726e+01,5.57031e+15
9.91732e+01,5.57014e+15
9.93738e+01,5.56997e+15
9.95744e+01,5.56980e+15
9.97750e+01,5.56963e+15
9.99756e+01,5.56946e+15
1.00176e+02,5.56929e+15
1.00377e+02,5.56912e+15
1.00577e+02,5.56895e+15
1.00778e+02,5.56879e+15
1.00979e+02,5.56862e+15
1.01179e+02,5.56846e+15
1.01380e+02,5.56829e+15
1.01581e+02,5.56813e+15
1.01781e+02,5.56797e+15
1.01982e+02,5.56780e+15
1.02182e+02,5.56764e+15
1.02383e+02,5.56748e+15
1.02584e+02,5.56732e+15
1.02784e+02,5.56716e+15
1.02985e+02,5.56700e+15
1.03185e+02,5.56684e+15
1.03386e+02,5.56668e+15
1.03587e+02,5.56653e+15
1.03787e+02,5.56637e+15
1.03988e+02,5.56621e+15
1.04189e+02,5.56606e+15
1.04389e+02,5.56590e+15
1.04590e+02,5.56575e+15
1.04790e+02,5.56559e+15
1.04991e+02,5.56544e+15
1.05192e+02,5.56529e+15
1.05392e+02,5.56514e+15
1.05593e+02,5.56498e+15
1.05793e+02,5.56483e+15
1.05994e+02,5.56468e+15
1.06195e+02,5.56453e+15
1.06395e+02,5.56439e+15
1.06596e+02,5.56424e+15
1.06797e+02,5.56409e+15
1.06997e+02,5.56394e+15
1.07198e+02,5.56379e+15
1.07398e+02,5.56365e+15
1.07599e+02,5.56350e+15
1.07800e+02,5.56336e+15
1.08000e+02,5.56321e+15
1.08201e+02,5.56307e+15
1.08401e+02,5.56293e+15
1.08602e+02,5.56278e+15
1.08803e+02,5.56264e+15
1.09003e+02,5.56250e+15
1.09204e+02,5.56236e+15
1.09405e+02,5.56222e+15
1.09605e+02,5.56208e+15
1.09806e+02,5.56194e+15
1.10006e+02,5.56180e+15
1.10207e+02,5.56166e+15
1.10408e+02,5.56152e+15
1.10608e+02,5.56138e+15
1.10809e+02,5.56125e+15
1.11009e+02,5.56111e+15
1.11210e+02,5.56097e+15
1.11411e+02,5.56084e+15
1.11611e+02,5.56070e+15
1.11812e+02,5.56057e+15
1.12013e+02,5.56043e+15
1.12213e+02,5.56030e+15
1.12414e+02,5.56017e+15
1.12614e+02,5.56003e+15
1.12815e+02,5.55990e+15
1.13016e+02,5.55977e+15
1.13216e+02,5.55964e+15
1.13417e+02,5.55951e+15
