P,Teff
1.6867360e-02,9.9960061e-03
1.7260250e-02,9.9959500e-03
1.7662290e-02,9.9958932e-03
1.8073700e-02,9.9958357e-03
1.8494690e-02,9.9957773e-03
1.8925480e-02,9.9957181e-03
1.9366310e-02,9.9956581e-03
1.9817410e-02,9.9955972e-03
2.0279020e-02,9.9955354e-03
2.0751380e-02,9.9954730e-03
2.1234740e-02,9.9954094e-03
2.1729360e-02,9.9953451e-03
2.2235500e-02,9.9952799e-03
2.2753440e-02,9.9952137e-03
2.3283430e-02,9.9951466e-03
2.3825770e-02,9.9950785e-03
2.4380750e-02,9.9950096e-03
2.4948650e-02,9.9949398e-03
2.5529780e-02,9.9948687e-03
2.6124440e-02,9.9947968e-03
2.6732960e-02,9.9947239e-03
2.7355650e-02,9.9946501e-03
2.7992840e-02,9.9945751e-03
2.8644880e-02,9.9944992e-03
2.9312100e-02,9.9944220e-03
2.9994870e-02,9.9943439e-03
3.0693540e-02,9.9942647e-03
3.1408480e-02,9.9941843e-03
3.2140080e-02,9.9941030e-03
3.2888720e-02,9.9940203e-03
3.3654800e-02,9.9939367e-03
3.4438720e-02,9.9938516e-03
3.5240900e-02,9.9937656e-03
3.6061770e-02,9.9936782e-03
3.6901750e-02,9.9935899e-03
3.7761300e-02,9.9935001e-03
3.8640880e-02,9.9934090e-03
3.9540940e-02,9.9933168e-03
4.0461970e-02,9.9932233e-03
4.1404450e-02,9.9931285e-03
4.2368880e-02,9.9930323e-03
4.3355780e-02,9.9929347e-03
4.4365660e-02,9.9928359e-03
4.5399070e-02,9.9927356e-03
4.6456550e-02,9.9926340e-03
4.7538670e-02,9.9925310e-03
4.8645980e-02,9.9924265e-03
4.9779090e-02,9.9923205e-03
5.0938600e-02,9.9922130e-03
5.2125110e-02,9.9921042e-03
5.3339260e-02,9.9919936e-03
5.4581690e-02,9.9918817e-03
5.5853060e-02,9.9917682e-03
5.7154050e-02,9.9916530e-03
5.8485340e-02,9.9915362e-03
5.9847630e-02,9.9914181e-03
6.1241660e-02,9.9912980e-03
6.2668170e-02,9.9911764e-03
6.4127900e-02,9.9910531e-03
6.5621630e-02,9.9909281e-03
6.7150150e-02,9.9908013e-03
6.8714280e-02,9.9906726e-03
7.0314840e-02,9.9905422e-03
7.1952680e-02,9.9904101e-03
7.3628680e-02,9.9902762e-03
7.5343710e-02,9.9901401e-03
7.7098690e-02,9.9900024e-03
7.8894550e-02,9.9898630e-03
8.0732240e-02,9.9897213e-03
8.2612730e-02,9.9895777e-03
8.4537030e-02,9.9894322e-03
8.6506150e-02,9.9892848e-03
8.8521140e-02,9.9891352e-03
9.0583060e-02,9.9889835e-03
9.2693010e-02,9.9888297e-03
9.4852110e-02,9.9886737e-03
9.7061500e-02,9.9885158e-03
9.9322350e-02,9.9883553e-03
1.0163590e-01,9.9881929e-03
1.0400330e-01,9.9880282e-03
1.0642580e-01,9.9878612e-03
1.0890480e-01,9.9876918e-03
1.1144150e-01,9.9875200e-03
1.1403730e-01,9.9873462e-03
1.1669360e-01,9.9871695e-03
1.1941170e-01,9.9869907e-03
1.2219320e-01,9.9868093e-03
1.2503940e-01,9.9866255e-03
1.2795200e-01,9.9864390e-03
1.3093240e-01,9.9862503e-03
1.3398220e-01,9.9860585e-03
1.3710300e-01,9.9858644e-03
1.4029650e-01,9.9856676e-03
1.4356450e-01,9.9854675e-03
1.4690850e-01,9.9852656e-03
1.5033050e-01,9.9850603e-03
1.5383210e-01,9.9848522e-03
1.5741530e-01,9.9846411e-03
1.6108200e-01,9.9844275e-03
1.6483410e-01,9.9842109e-03
1.6867360e-01,9.9839912e-03
1.7260250e-01,9.9837685e-03
1.7662290e-01,9.9835426e-03
1.8073700e-01,9.9833136e-03
1.8494690e-01,9.9830813e-03
1.8925480e-01,9.9828463e-03
1.9366310e-01,9.9826075e-03
1.9817410e-01,9.9823658e-03
2.0279020e-01,9.9821208e-03
2.0751380e-01,9.9818723e-03
2.1234740e-01,9.9816203e-03
2.1729360e-01,9.9813654e-03
2.2235500e-01,9.9811063e-03
2.2753440e-01,9.9808441e-03
2.3283430e-01,9.9805778e-03
2.3825770e-01,9.9803083e-03
2.4380750e-01,9.9800350e-03
2.4948650e-01,9.9797579e-03
2.5529780e-01,9.9794769e-03
2.6124440e-01,9.9791921e-03
2.6732960e-01,9.9789038e-03
2.7355650e-01,9.9786109e-03
2.7992840e-01,9.9783146e-03
2.8644880e-01,9.9780141e-03
2.9312100e-01,9.9777089e-03
2.9994870e-01,9.9774000e-03
3.0693540e-01,9.9770868e-03
