nu,B
1.2513094328e+21,3.4880476586e-08
1.2549364166e+21,3.4106070907e-08
1.2585634005e+21,3.3348023331e-08
1.2621903844e+21,3.2606012503e-08
1.2658173682e+21,3.1879722669e-08
1.2694443521e+21,3.1168843604e-08
1.2730713360e+21,3.0473070534e-08
1.2766983198e+21,2.9792104060e-08
1.2803253037e+21,2.9125650084e-08
1.2839522875e+21,2.8473419735e-08
1.2875792714e+21,2.7835129292e-08
1.2912062553e+21,2.7210500114e-08
1.2948332391e+21,2.6599258562e-08
1.2984602230e+21,2.6001135930e-08
1.3020872069e+21,2.5415868371e-08
1.3057141907e+21,2.4843196824e-08
1.3093411746e+21,2.4282866948e-08
1.3129681584e+21,2.3734629042e-08
1.3165951423e+21,2.3198237985e-08
1.3202221262e+21,2.2673453159e-08
1.3238491100e+21,2.2160038384e-08
1.3274760939e+21,2.1657761848e-08
1.3311030778e+21,2.1166396040e-08
1.3347300616e+21,2.0685717683e-08
1.3383570455e+21,2.0215507666e-08
1.3419840294e+21,1.9755550982e-08
1.3456110132e+21,1.9305636658e-08
1.3492379971e+21,1.8865557694e-08
1.3528649809e+21,1.8435110999e-08
1.3564919648e+21,1.8014097327e-08
1.3601189487e+21,1.7602321213e-08
1.3637459325e+21,1.7199590915e-08
1.3673729164e+21,1.6805718351e-08
1.3709999003e+21,1.6420519038e-08
1.3746268841e+21,1.6043812032e-08
1.3782538680e+21,1.5675419873e-08
1.3818808518e+21,1.5315168522e-08
1.3855078357e+21,1.4962887306e-08
1.3891348196e+21,1.4618408859e-08
1.3927618034e+21,1.4281569070e-08
1.3963887873e+21,1.3952207024e-08
1.4000157712e+21,1.3630164948e-08
1.4036427550e+21,1.3315288157e-08
1.4072697389e+21,1.3007425002e-08
1.4108967228e+21,1.2706426816e-08
1.4145237066e+21,1.2412147863e-08
1.4181506905e+21,1.2124445285e-08
1.4217776743e+21,1.1843179053e-08
1.4254046582e+21,1.1568211919e-08
1.4290316421e+21,1.1299409363e-08
1.4326586259e+21,1.1036639547e-08
1.4362856098e+21,1.0779773265e-08
1.4399125937e+21,1.0528683899e-08
1.4435395775e+21,1.0283247372e-08
1.4471665614e+21,1.0043342099e-08
1.4507935452e+21,9.8088489459e-09
1.4544205291e+21,9.5796511823e-09
1.4580475130e+21,9.3556344397e-09
1.4616744968e+21,9.1366866669e-09
1.4653014807e+21,8.9226980884e-09
1.4689284646e+21,8.7135611624e-09
1.4725554484e+21,8.5091705391e-09
1.4761824323e+21,8.3094230209e-09
1.4798094162e+21,8.1142175219e-09
1.4834364000e+21,7.9234550288e-09
1.4870633839e+21,7.7370385623e-09
1.4906903677e+21,7.5548731386e-09
1.4943173516e+21,7.3768657325e-09
1.4979443355e+21,7.2029252398e-09
1.5015713193e+21,7.0329624417e-09
1.5051983032e+21,6.8668899684e-09
1.5088252871e+21,6.7046222647e-09
1.5124522709e+21,6.5460755546e-09
1.5160792548e+21,6.3911678080e-09
1.5197062386e+21,6.2398187067e-09
1.5233332225e+21,6.0919496119e-09
